Ticker Symbol,Period Ending,Accounts Payable,Accounts Receivable,Add'l income/expense items,After Tax ROE,Capital Expenditures,Cash Ratio,Cash and Cash Equivalents,Changes in Inventories,Common Stocks,Cost of Revenue,Current Ratio,Earnings Before Interest and Tax,Fixed Assets,Gross Margin,Gross Profit,Income Tax,Inventory,Investments,Liabilities,Net Borrowings,Net Cash Flow,Net Income,Net Income Applicable to Common Shareholders,Operating Income,Operating Margin,Profit Margin,Retained Earnings,Total Assets,Total Liabilities,Earnings Per Share
BWA,2013-12-31,1422300000.0,-91700000.0,4800000.0,18.0,-417800000.0,58.0,939500000.0,-14800000.0,2500000.0,5879100000.0,172.0,860000000.0,1939400000.0,21.0,1557500000.0,218300000.0,458100000.0,0.0,3100000.0,212500000.0,223800000.0,624300000.0,624300000.0,855200000.0,11.0,8.0,3177400000.0,2798500000.0,6917000000.0,228681318.681
BWA,2014-12-31,1544500000.0,-248700000.0,5500000.0,18.0,-563000000.0,37.0,797800000.0,-39700000.0,2500000.0,6548700000.0,137.0,969200000.0,2093900000.0,21.0,1756400000.0,292600000.0,505700000.0,0.0,100400000.0,-411100000.0,-141700000.0,655800000.0,655800000.0,963700000.0,12.0,8.0,3717100000.0,2970800000.0,7228000000.0,226920415.225
BWA,2015-12-31,1915800000.0,-81800000.0,7500000.0,17.0,-577300000.0,25.0,577700000.0,-52900000.0,2500000.0,6320100000.0,133.0,947200000.0,2448100000.0,21.0,1703100000.0,280400000.0,723600000.0,13100000.0,57700000.0,1539400000.0,-220100000.0,609700000.0,609700000.0,939700000.0,12.0,8.0,4210100000.0,3135200000.0,8825700000.0,224154411.765
BWA,2016-12-31,1915900000.0,-137500000.0,6300000.0,4.0,-500600000.0,21.0,443700000.0,-36500000.0,2500000.0,7137900000.0,139.0,232200000.0,2501800000.0,21.0,1933100000.0,30300000.0,641200000.0,0.0,120700000.0,-189000000.0,-134000000.0,118500000.0,118500000.0,225900000.0,2.0,1.0,4215200000.0,2911600000.0,8834700000.0,
BXP,2012-12-31,382051000.0,23155000.0,7027000.0,6.0,-1144449000.0,,1041978000.0,0.0,1516000.0,667208000.0,,651801000.0,11959168000.0,64.0,1179978000.0,0.0,0.0,-189332000.0,-68257000.0,3750000.0,-781230000.0,289650000.0,289650000.0,640321000.0,35.0,16.0,-109985000.0,0.0,15351445000.0,150077720.207
BXP,2013-12-31,867235000.0,-443000.0,11343000.0,13.0,-919735000.0,,2365137000.0,0.0,1530000.0,771403000.0,,689341000.0,15817194000.0,64.0,1364136000.0,0.0,0.0,137017000.0,-19945000.0,705779000.0,1323159000.0,749811000.0,741754000.0,678120000.0,32.0,35.0,-108552000.0,0.0,20124952000.0,153965297.741
BXP,2014-12-31,1289267000.0,12869000.0,167209000.0,8.0,-410612000.0,,1763079000.0,0.0,1531000.0,864526000.0,,979664000.0,15688744000.0,64.0,1532472000.0,0.0,0.0,-622324000.0,-157037000.0,-1276037000.0,-602058000.0,443611000.0,433111000.0,801822000.0,33.0,19.0,-762464000.0,0.0,19886134000.0,156753003.534
BXP,2015-12-31,792415000.0,-46326000.0,359979000.0,10.0,-374664000.0,,723718000.0,0.0,1536000.0,904336000.0,,1231384000.0,15555641000.0,64.0,1586485000.0,0.0,0.0,-469955000.0,-103857000.0,-53770000.0,-1039361000.0,583106000.0,572606000.0,849365000.0,34.0,23.0,-780952000.0,0.0,18379456000.0,153853825.858
C,2012-12-31,57013000000.0,0.0,3251000000.0,4.0,-3604000000.0,,3.99898e+11,0.0,30000000.0,0.0,,28437000000.0,0.0,100.0,59581000000.0,7000000.0,0.0,-35338000000.0,-13096000000.0,-79033000000.0,7752000000.0,7541000000.0,7541000000.0,4574000000.0,8.0,13.0,97809000000.0,0.0,1.86466e+12,3004382470.12
C,2013-12-31,53707000000.0,0.0,748000000.0,7.0,-3490000000.0,,4.55927e+11,0.0,31000000.0,0.0,,35979000000.0,0.0,100.0,67997000000.0,6186000000.0,0.0,-25967000000.0,-10346000000.0,-17114000000.0,-6568000000.0,13659000000.0,13659000000.0,19054000000.0,28.0,20.0,1.11168e+11,0.0,1.880382e+12,3140000000.0
